# Transcript IDs from the BED file provided by Birmingham, annotated with information
# from MANE.GRCh38.v1.5.summary.txt.gz
# (https://ftp.ncbi.nlm.nih.gov/refseq/MANE/MANE_human/release_1.5/)
#
# This analysis was suggested by the team to determine how many TSO500 transcripts
# correspond to MANE Select or MANE Plus Clinical transcripts.

TSO500_transcripts	#NCBI_GeneID	Ensembl_Gene	HGNC_ID	symbol	name	RefSeq_nuc	RefSeq_prot	Ensembl_nuc	Ensembl_prot	MANE_status	GRCh38_chr	chr_start	chr_end	chr_strand
NM_000123.4	GeneID:2073	ENSG00000134899.26	HGNC:3437	ERCC5	"ERCC excision repair 5, endonuclease"	NM_000123.4	NP_000114.3	ENST00000652225.2	ENSP00000498881.2	MANE Select	NC_000013.11	102846032	102875995	+
NM_000125.4	GeneID:2099	ENSG00000091831.27	HGNC:3467	ESR1	estrogen receptor 1	NM_000125.4	NP_000116.2	ENST00000206249.8	ENSP00000206249.3	MANE Select	NC_000006.12	151807682	152103274	+
NM_000135.4	GeneID:2175	ENSG00000187741.18	HGNC:3582	FANCA	FA complementation group A	NM_000135.4	NP_000126.2	ENST00000389301.8	ENSP00000373952.3	MANE Select	NC_000016.10	89737549	89816647	-
NM_000136.3	GeneID:2176	ENSG00000158169.16	HGNC:3584	FANCC	FA complementation group C	NM_000136.3	NP_000127.2	ENST00000289081.8	ENSP00000289081.3	MANE Select	NC_000009.12	95099054	95317709	-
NM_000141.5	GeneID:2263	ENSG00000066468.26	HGNC:3689	FGFR2	fibroblast growth factor receptor 2	NM_000141.5	NP_000132.3	ENST00000358487.10	ENSP00000351276.6	MANE Select	NC_000010.11	121478332	121598444	-
NM_000142.5	GeneID:2261	ENSG00000068078.22	HGNC:3690	FGFR3	fibroblast growth factor receptor 3	NM_000142.5	NP_000133.1	ENST00000440486.8	ENSP00000414914.2	MANE Select	NC_000004.12	1793293	1808867	+
NM_000143.4	GeneID:2271	ENSG00000091483.10	HGNC:3700	FH	fumarate hydratase	NM_000143.4	NP_000134.2	ENST00000366560.4	ENSP00000355518.4	MANE Select	NC_000001.11	241497603	241519755	-
NM_000179.3	GeneID:2956	ENSG00000116062.21	HGNC:7329	MSH6	mutS homolog 6	NM_000179.3	NP_000170.1	ENST00000234420.11	ENSP00000234420.5	MANE Select	NC_000002.12	47783145	47806953	+
NM_000208.4	GeneID:3643	ENSG00000171105.16	HGNC:6091	INSR	insulin receptor	NM_000208.4	NP_000199.2	ENST00000302850.10	ENSP00000303830.4	MANE Select	NC_000019.10	7112265	7294414	-
NM_000215.4	GeneID:3718	ENSG00000105639.22	HGNC:6193	JAK3	Janus kinase 3	NM_000215.4	NP_000206.2	ENST00000458235.7	ENSP00000391676.1	MANE Select	NC_000019.10	17824782	17847982	-
NM_000222.3	GeneID:3815	ENSG00000157404.19	HGNC:6342	KIT	"KIT proto-oncogene, receptor tyrosine kinase"	NM_000222.3	NP_000213.1	ENST00000288135.6	ENSP00000288135.6	MANE Select	NC_000004.12	54657957	54740715	+
NM_000249.4	GeneID:4292	ENSG00000076242.20	HGNC:7127	MLH1	mutL homolog 1	NM_000249.4	NP_000240.1	ENST00000231790.8	ENSP00000231790.3	MANE Select	NC_000003.12	36993518	37050846	+
NM_000251.3	GeneID:4436	ENSG00000095002.18	HGNC:7325	MSH2	mutS homolog 2	NM_000251.3	NP_000242.1	ENST00000233146.7	ENSP00000233146.2	MANE Select	NC_000002.12	47403156	47483223	+
NM_000264.5	GeneID:5727	ENSG00000185920.19	HGNC:9585	PTCH1	patched 1	NM_000264.5	NP_000255.2	ENST00000331920.11	ENSP00000332353.6	MANE Select	NC_000009.12	95442980	95509266	-
NM_000268.4	GeneID:4771	ENSG00000186575.22	HGNC:7773	NF2	"NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor"	NM_000268.4	NP_000259.1	ENST00000338641.10	ENSP00000344666.5	MANE Select	NC_000022.11	29603633	29698598	+
NM_000314.8	GeneID:5728	ENSG00000171862.16	HGNC:9588	PTEN	phosphatase and tensin homolog	NM_000314.8	NP_000305.3	ENST00000371953.8	ENSP00000361021.3	MANE Select	NC_000010.11	87863625	87971930	+
NM_000321.3	GeneID:5925	ENSG00000139687.19	HGNC:9884	RB1	RB transcriptional corepressor 1	NM_000321.3	NP_000312.2	ENST00000267163.6	ENSP00000267163.4	MANE Select	NC_000013.11	48303751	48481890	+
NM_000346.4	GeneID:6662	ENSG00000125398.10	HGNC:11204	SOX9	SRY-box transcription factor 9	NM_000346.4	NP_000337.1	ENST00000245479.3	ENSP00000245479.2	MANE Select	NC_000017.11	72121020	72126416	+
NM_000368.5	GeneID:7248	ENSG00000165699.18	HGNC:12362	TSC1	TSC complex subunit 1	NM_000368.5	NP_000359.1	ENST00000298552.9	ENSP00000298552.3	MANE Select	NC_000009.12	132891349	132944616	-
NM_000369.5	GeneID:7253	ENSG00000165409.19	HGNC:12373	TSHR	thyroid stimulating hormone receptor	NM_000369.5	NP_000360.2	ENST00000298171.7	ENSP00000298171.2	MANE Select	NC_000014.9	80955621	81146306	+
NM_000389.5	GeneID:1026	ENSG00000124762.17	HGNC:1784	CDKN1A	cyclin dependent kinase inhibitor 1A	NM_000389.5	NP_000380.1	ENST00000244741.10	ENSP00000244741.6	MANE Select	NC_000006.12	36678714	36687332	+
NM_000400.4	GeneID:2068	ENSG00000104884.19	HGNC:3434	ERCC2	"ERCC excision repair 2, TFIIH core complex helicase subunit"	NM_000400.4	NP_000391.1	ENST00000391945.10	ENSP00000375809.4	MANE Select	NC_000019.10	45349837	45370573	-
NM_000416.3	GeneID:3459	ENSG00000027697.18	HGNC:5439	IFNGR1	interferon gamma receptor 1	NM_000416.3	NP_000407.1	ENST00000367739.9	ENSP00000356713.5	MANE Select	NC_000006.12	137197485	137219385	-
NM_000420.3	GeneID:3792	ENSG00000197993.11	HGNC:6308	KEL	Kell metallo-endopeptidase (Kell blood group)	NM_000420.3	NP_000411.1	ENST00000355265.7	ENSP00000347409.2	MANE Select	NC_000007.14	142941114	142962363	-
NM_000435.3	GeneID:4854	ENSG00000074181.11	HGNC:7883	NOTCH3	notch receptor 3	NM_000435.3	NP_000426.2	ENST00000263388.7	ENSP00000263388.1	MANE Select	NC_000019.10	15159038	15200995	-
NM_000455.5	GeneID:6794	ENSG00000118046.20	HGNC:11389	STK11	serine/threonine kinase 11	NM_000455.5	NP_000446.1	ENST00000326873.12	ENSP00000324856.6	MANE Select	NC_000019.10	1205778	1228431	+
NM_000465.4	GeneID:580	ENSG00000138376.13	HGNC:952	BARD1	BRCA1 associated RING domain 1	NM_000465.4	NP_000456.2	ENST00000260947.9	ENSP00000260947.4	MANE Select	NC_000002.12	214725646	214809683	-
NM_000489.6	GeneID:546	ENSG00000085224.24	HGNC:886	ATRX	ATRX chromatin remodeler	NM_000489.6	NP_000480.3	ENST00000373344.11	ENSP00000362441.4	MANE Select	NC_000023.11	77504880	77786216	-
NM_000516.7	GeneID:2778	ENSG00000087460.30	HGNC:4392	GNAS	GNAS complex locus	NM_000516.7	NP_000507.1	ENST00000371085.8	ENSP00000360126.3	MANE Select	NC_000020.11	58891421	58911192	+
NM_000534.5	GeneID:5378	ENSG00000064933.21	HGNC:9121	PMS1	"PMS1 homolog 1, mismatch repair system component"	NM_000534.5	NP_000525.1	ENST00000441310.7	ENSP00000406490.3	MANE Select	NC_000002.12	189784450	189877629	+
NM_000535.7	GeneID:5395	ENSG00000122512.19	HGNC:9122	PMS2	"PMS1 homolog 2, mismatch repair system component"	NM_000535.7	NP_000526.2	ENST00000265849.12	ENSP00000265849.7	MANE Select	NC_000007.14	5970925	6009049	-
NM_000545.8	GeneID:6927	ENSG00000135100.21	HGNC:11621	HNF1A	HNF1 homeobox A	NM_000545.8	NP_000536.6	ENST00000257555.11	ENSP00000257555.5	MANE Select	NC_000012.12	120978543	121002512	+
NM_000546.6	GeneID:7157	ENSG00000141510.21	HGNC:11998	TP53	tumor protein p53	NM_000546.6	NP_000537.3	ENST00000269305.9	ENSP00000269305.4	MANE Select	NC_000017.11	7668421	7687490	-
NM_000548.5	GeneID:7249	ENSG00000103197.22	HGNC:12363	TSC2	TSC complex subunit 2	NM_000548.5	NP_000539.2	ENST00000219476.9	ENSP00000219476.3	MANE Select	NC_000016.10	2047985	2089491	+
NM_000551.4	GeneID:7428	ENSG00000134086.12	HGNC:12687	VHL	von Hippel-Lindau tumor suppressor	NM_000551.4	NP_000542.1	ENST00000256474.3	ENSP00000256474.3	MANE Select	NC_000003.12	10141778	10153667	+
NM_000572.3	GeneID:3586	ENSG00000136634.7	HGNC:5962	IL10	interleukin 10	NM_000572.3	NP_000563.1	ENST00000423557.1	ENSP00000412237.1	MANE Select	NC_000001.11	206767602	206772494	-
NM_000601.6	GeneID:3082	ENSG00000019991.19	HGNC:4893	HGF	hepatocyte growth factor	NM_000601.6	NP_000592.3	ENST00000222390.11	ENSP00000222390.5	MANE Select	NC_000007.14	81699010	81770047	-
NM_000612.6	GeneID:3481	ENSG00000167244.23	HGNC:5466	IGF2	insulin like growth factor 2	NM_000612.6	NP_000603.1	ENST00000416167.7	ENSP00000414497.2	MANE Select	NC_000011.10	2129117	2139389	-
NM_000618.5	GeneID:3479	ENSG00000017427.19	HGNC:5464	IGF1	insulin like growth factor 1	NM_000618.5	NP_000609.1	ENST00000337514.11	ENSP00000337612.7	MANE Select	NC_000012.12	102395874	102480563	-
NM_000626.4	GeneID:974	ENSG00000007312.16	HGNC:1699	CD79B	CD79b molecule	NM_000626.4	NP_000617.1	ENST00000006750.8	ENSP00000006750.4	MANE Select	NC_000017.11	63928740	63932331	-
NM_000633.3	GeneID:596	ENSG00000171791.15	HGNC:990	BCL2	BCL2 apoptosis regulator	NM_000633.3	NP_000624.2	ENST00000333681.5	ENSP00000329623.3	MANE Select	NC_000018.10	63123346	63319769	-
NM_000760.4	GeneID:1441	ENSG00000119535.22	HGNC:2439	CSF3R	colony stimulating factor 3 receptor	NM_000760.4	NP_000751.1	ENST00000373106.6	ENSP00000362198.2	MANE Select	NC_000001.11	36466043	36482913	-
NM_000800.5	GeneID:2246	ENSG00000113578.20	HGNC:3665	FGF1	fibroblast growth factor 1	NM_000800.5	NP_000791.1	ENST00000337706.7	ENSP00000338548.2	MANE Select	NC_000005.10	142592178	142686090	-
NM_000811.3	GeneID:2559	ENSG00000145863.11	HGNC:4080	GABRA6	gamma-aminobutyric acid type A receptor subunit alpha6	NM_000811.3	NP_000802.2	ENST00000274545.10	ENSP00000274545.5	MANE Select	NC_000005.10	161685721	161702592	+
NM_000840.3	GeneID:2913	ENSG00000198822.13	HGNC:4595	GRM3	glutamate metabotropic receptor 3	NM_000840.3	NP_000831.2	ENST00000361669.7	ENSP00000355316.2	MANE Select	NC_000007.14	86643909	86864879	+
NM_000862.3	GeneID:3283	ENSG00000203857.11	HGNC:5217	HSD3B1	"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1"	NM_000862.3	NP_000853.1	ENST00000369413.8	ENSP00000358421.3	MANE Select	NC_000001.11	119507210	119515054	+
NM_000875.5	GeneID:3480	ENSG00000140443.15	HGNC:5465	IGF1R	insulin like growth factor 1 receptor	NM_000875.5	NP_000866.1	ENST00000650285.1	ENSP00000497069.1	MANE Select	NC_000015.10	98648539	98964530	+
NM_000926.4	GeneID:5241	ENSG00000082175.17	HGNC:8910	PGR	progesterone receptor	NM_000926.4	NP_000917.3	ENST00000325455.10	ENSP00000325120.5	MANE Select	NC_000011.10	101029624	101129813	-
NM_000964.4	GeneID:5914	ENSG00000131759.20	HGNC:9864	RARA	retinoic acid receptor alpha	NM_000964.4	NP_000955.1	ENST00000254066.10	ENSP00000254066.5	MANE Select	NC_000017.11	40309180	40357643	+
NM_001002295.2	GeneID:2625	ENSG00000107485.20	HGNC:4172	GATA3	GATA binding protein 3	NM_001002295.2	NP_001002295.1	ENST00000379328.9	ENSP00000368632.3	MANE Select	NC_000010.11	8054688	8075198	+
NM_001005464.3	GeneID:333932	ENSG00000203852.4	HGNC:20505	H3C15	H3 clustered histone 15	NM_001005464.3	NP_001005464.1	ENST00000403683.2	ENSP00000385479.1	MANE Select	NC_000001.11	149852608	149853125	+
NM_001007228.2	GeneID:8405	ENSG00000121067.21	HGNC:11254	SPOP	speckle type BTB/POZ protein	NM_001007228.2	NP_001007229.1	ENST00000504102.6	ENSP00000425905.1	MANE Select	NC_000017.11	49598884	49678097	-
NM_001012338.3	GeneID:4916	ENSG00000140538.19	HGNC:8033	NTRK3	neurotrophic receptor tyrosine kinase 3	NM_001012338.3	NP_001012338.1	ENST00000629765.3	ENSP00000485864.1	MANE Select	NC_000015.10	87859751	88256739	-
NM_001013699.3	GeneID:440093	ENSG00000188375.5	HGNC:33164	H3-5	H3.5 histone	NM_001013699.3	NP_001013721.2	ENST00000340398.5	ENSP00000339835.3	MANE Select	NC_000012.12	31791185	31792298	-
NM_001015877.2	GeneID:84295	ENSG00000156531.20	HGNC:18145	PHF6	PHD finger protein 6	NM_001015877.2	NP_001015877.1	ENST00000370803.8	ENSP00000359839.4	MANE Select	NC_000023.11	134373312	134428790	+
NM_001018115.3	GeneID:2177	ENSG00000144554.15	HGNC:3585	FANCD2	FA complementation group D2	NM_001018115.3	NP_001018125.1	ENST00000675286.1	ENSP00000502379.1	MANE Select	NC_000003.12	10026437	10101932	+
NM_001024736.2	GeneID:80381	ENSG00000103855.20	HGNC:19137	CD276	CD276 molecule	NM_001024736.2	NP_001019907.1	ENST00000318443.10	ENSP00000320084.5	MANE Select	NC_000015.10	73684383	73714514	+
NM_001025159.3	GeneID:972	ENSG00000019582.19	HGNC:1697	CD74	CD74 molecule	NM_001025159.3	NP_001020330.1	ENST00000009530.13	ENSP00000009530.7	MANE Select	NC_000005.10	150401639	150412910	-
NM_001033081.3	GeneID:4610	ENSG00000116990.13	HGNC:7555	MYCL	"MYCL proto-oncogene, bHLH transcription factor"	NM_001033081.3	NP_001028253.1	ENST00000372816.3	ENSP00000361903.2	MANE Select	NC_000001.11	39895428	39901917	-
NM_001042492.3	GeneID:4763	ENSG00000196712.21	HGNC:7765	NF1	neurofibromin 1	NM_001042492.3	NP_001035957.1	ENST00000358273.9	ENSP00000351015.4	MANE Select	NC_000017.11	31094977	31377675	+
NM_001042603.3	GeneID:5927	ENSG00000073614.14	HGNC:9886	KDM5A	lysine demethylase 5A	NM_001042603.3	NP_001036068.1	ENST00000399788.7	ENSP00000382688.2	MANE Select	NC_000012.12	280057	389320	-
NM_001042750.2	GeneID:10735	ENSG00000101972.22	HGNC:11355	STAG2	STAG2 cohesin complex component	NM_001042750.2	NP_001036215.1	ENST00000371145.8	ENSP00000360187.4	MANE Select	NC_000023.11	123961706	124102656	+
NM_001067.4	GeneID:7153	ENSG00000131747.17	HGNC:11989	TOP2A	DNA topoisomerase II alpha	NM_001067.4	NP_001058.2	ENST00000423485.6	ENSP00000411532.1	MANE Select	NC_000017.11	40388525	40417896	-
NM_001079668.3	GeneID:7080	ENSG00000136352.21	HGNC:11825	NKX2-1	NK2 homeobox 1	NM_001079668.3	NP_001073136.1	ENST00000354822.7	ENSP00000346879.6	MANE Select	NC_000014.9	36516397	36520232	-
NM_001079675.5	GeneID:2118	ENSG00000175832.15	HGNC:3493	ETV4	ETS variant transcription factor 4	NM_001079675.5	NP_001073143.1	ENST00000319349.10	ENSP00000321835.4	MANE Select	NC_000017.11	43527846	43546340	-
NM_001101669.3	GeneID:8821	ENSG00000109452.15	HGNC:6075	INPP4B	inositol polyphosphate-4-phosphatase type II B	NM_001101669.3	NP_001095139.1	ENST00000262992.9	ENSP00000262992.4	MANE Select	NC_000004.12	142023160	142846301	-
NM_001111067.4	GeneID:90	ENSG00000115170.18	HGNC:171	ACVR1	activin A receptor type 1	NM_001111067.4	NP_001104537.1	ENST00000434821.7	ENSP00000405004.1	MANE Select	NC_000002.12	157736446	157876330	-
NM_001113378.2	GeneID:55215	ENSG00000140525.22	HGNC:25568	FANCI	FA complementation group I	NM_001113378.2	NP_001106849.1	ENST00000310775.12	ENSP00000310842.8	MANE Select	NC_000015.10	89243979	89317131	+
NM_001114122.3	GeneID:1111	ENSG00000149554.17	HGNC:1925	CHEK1	checkpoint kinase 1	NM_001114122.3	NP_001107594.1	ENST00000438015.7	ENSP00000388648.1	MANE Select	NC_000011.10	125625163	125657147	+
NM_001123375.3	GeneID:653604	ENSG00000183598.4	HGNC:25311	H3C13	H3 clustered histone 13	NM_001123375.3	NP_001116847.1	ENST00000331491.2	ENSP00000333277.2	MANE Select	NC_000001.11	149813225	149813693	-
NM_001123385.2	GeneID:54880	ENSG00000183337.20	HGNC:20893	BCOR	BCL6 corepressor	NM_001123385.2	NP_001116857.1	ENST00000378444.9	ENSP00000367705.4	MANE Select	NC_000023.11	40051251	40097958	-
NM_001127208.3	GeneID:54790	ENSG00000168769.16	HGNC:25941	TET2	tet methylcytosine dioxygenase 2	NM_001127208.3	NP_001120680.1	ENST00000380013.9	ENSP00000369351.4	MANE Select	NC_000004.12	105146876	105279803	+
NM_001128148.3	GeneID:7037	ENSG00000072274.16	HGNC:11763	TFRC	transferrin receptor	NM_001128148.3	NP_001121620.1	ENST00000360110.9	ENSP00000353224.4	MANE Select	NC_000003.12	196049284	196082090	-
NM_001130009.3	GeneID:348654	ENSG00000178295.17	HGNC:26881	GEN1	GEN1 Holliday junction 5' flap endonuclease	NM_001130009.3	NP_001123481.3	ENST00000381254.7	ENSP00000370653.2	MANE Select	NC_000002.12	17754138	17788946	+
NM_001130145.3	GeneID:10413	ENSG00000137693.16	HGNC:16262	YAP1	Yes1 associated transcriptional regulator	NM_001130145.3	NP_001123617.1	ENST00000282441.10	ENSP00000282441.5	MANE Select	NC_000011.10	102110447	102233424	+
NM_001130173.2	GeneID:4602	ENSG00000118513.23	HGNC:7545	MYB	"MYB proto-oncogene, transcription factor"	NM_001130173.2	NP_001123645.1	ENST00000341911.10	ENSP00000339992.5	MANE Select	NC_000006.12	135181308	135219172	+
NM_001130823.3	GeneID:1786	ENSG00000130816.19	HGNC:2976	DNMT1	DNA methyltransferase 1	NM_001130823.3	NP_001124295.1	ENST00000359526.9	ENSP00000352516.3	MANE Select	NC_000019.10	10133346	10194953	-
NM_001134225.2	GeneID:3631	ENSG00000040933.19	HGNC:6074	INPP4A	inositol polyphosphate-4-phosphatase type I A	NM_001134225.2	NP_001127697.1	ENST00000409851.8	ENSP00000386777.4	MANE Select	NC_000002.12	98444858	98594392	+
NM_001134407.3	GeneID:2903	ENSG00000183454.20	HGNC:4585	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	NM_001134407.3	NP_001127879.1	ENST00000330684.4	ENSP00000332549.3	MANE Select	NC_000016.10	9753408	10182428	-
NM_001135254.2	GeneID:5081	ENSG00000009709.15	HGNC:8621	PAX7	paired box 7	NM_001135254.2	NP_001128726.1	ENST00000420770.7	ENSP00000403389.2	MANE Select	NC_000001.11	18630846	18748866	+
NM_001139.3	GeneID:242	ENSG00000179477.12	HGNC:430	ALOX12B	"arachidonate 12-lipoxygenase, 12R type"	NM_001139.3	NP_001130.1	ENST00000647874.1	ENSP00000497784.1	MANE Select	NC_000017.11	8072636	8087716	-
NM_001141969.2	GeneID:1616	ENSG00000204209.15	HGNC:2681	DAXX	death domain associated protein	NM_001141969.2	NP_001135441.1	ENST00000374542.10	ENSP00000363668.5	MANE Select	NC_000006.12	33318558	33322959	-
NM_001143820.2	GeneID:2113	ENSG00000134954.16	HGNC:3488	ETS1	"ETS proto-oncogene 1, transcription factor"	NM_001143820.2	NP_001137292.1	ENST00000392668.8	ENSP00000376436.3	MANE Select	NC_000011.10	128458765	128587558	-
NM_001145306.2	GeneID:1021	ENSG00000105810.12	HGNC:1777	CDK6	cyclin dependent kinase 6	NM_001145306.2	NP_001138778.1	ENST00000424848.3	ENSP00000397087.3	MANE Select	NC_000007.14	92604921	92836573	-
NM_001145785.2	GeneID:100271849	ENSG00000213999.19	HGNC:6995	MEF2B	myocyte enhancer factor 2B	NM_001145785.2	NP_001139257.1	ENST00000424583.7	ENSP00000402154.2	MANE Select	NC_000019.10	19145567	19170263	-
NM_001146156.2	GeneID:2932	ENSG00000082701.19	HGNC:4617	GSK3B	glycogen synthase kinase 3 beta	NM_001146156.2	NP_001139628.1	ENST00000264235.13	ENSP00000264235.9	MANE Select	NC_000003.12	119821321	120094447	-
NM_001165.5	GeneID:330	ENSG00000023445.19	HGNC:591	BIRC3	baculoviral IAP repeat containing 3	NM_001165.5	NP_001156.1	ENST00000263464.9	ENSP00000263464.4	MANE Select	NC_000011.10	102317484	102339403	+
NM_001167.4	GeneID:331	ENSG00000101966.16	HGNC:592	XIAP	X-linked inhibitor of apoptosis	NM_001167.4	NP_001158.2	ENST00000371199.8	ENSP00000360242.3	MANE Select	NC_000023.11	123860053	123913972	+
NM_001184.4	GeneID:545	ENSG00000175054.18	HGNC:882	ATR	ATR checkpoint kinase	NM_001184.4	NP_001175.2	ENST00000350721.9	ENSP00000343741.4	MANE Select	NC_000003.12	142449235	142578733	-
NM_001195427.2	GeneID:6427	ENSG00000161547.19	HGNC:10783	SRSF2	serine and arginine rich splicing factor 2	NM_001195427.2	NP_001182356.1	ENST00000359995.10	ENSP00000353089.5	MANE Select	NC_000017.11	76734115	76737331	-
NM_001197104.2	GeneID:4297	ENSG00000118058.26	HGNC:7132	KMT2A	lysine methyltransferase 2A	NM_001197104.2	NP_001184033.1	ENST00000534358.8	ENSP00000436786.2	MANE Select	NC_000011.10	118436492	118526832	+
NM_001198.4	GeneID:639	ENSG00000057657.19	HGNC:9346	PRDM1	PR/SET domain 1	NM_001198.4	NP_001189.2	ENST00000369096.9	ENSP00000358092.4	MANE Select	NC_000006.12	106086336	106109938	+
NM_001238.4	GeneID:898	ENSG00000105173.16	HGNC:1589	CCNE1	cyclin E1	NM_001238.4	NP_001229.1	ENST00000262643.8	ENSP00000262643.3	MANE Select	NC_000019.10	29811991	29824312	+
NM_001260.3	GeneID:1024	ENSG00000132964.15	HGNC:1779	CDK8	cyclin dependent kinase 8	NM_001260.3	NP_001251.1	ENST00000381527.8	ENSP00000370938.3	MANE Select	NC_000013.11	26254129	26405238	+
NM_001267547.3	GeneID:10139	ENSG00000101246.22	HGNC:662	ARFRP1	ARF related protein 1	NM_001267547.3	NP_001254476.1	ENST00000622789.5	ENSP00000483486.1	MANE Select	NC_000020.11	63698647	63707976	-
NM_001270508.2	GeneID:7128	ENSG00000118503.20	HGNC:11896	TNFAIP3	TNF alpha induced protein 3	NM_001270508.2	NP_001257437.1	ENST00000612899.5	ENSP00000481570.1	MANE Select	NC_000006.12	137867259	137883312	+
NM_001271.4	GeneID:1106	ENSG00000173575.25	HGNC:1917	CHD2	chromodomain helicase DNA binding protein 2	NM_001271.4	NP_001262.3	ENST00000394196.9	ENSP00000377747.4	MANE Select	NC_000015.10	92900324	93027996	+
NM_001273.5	GeneID:1108	ENSG00000111642.18	HGNC:1919	CHD4	chromodomain helicase DNA binding protein 4	NM_001273.5	NP_001264.2	ENST00000544040.7	ENSP00000440542.2	MANE Select	NC_000012.12	6570082	6607379	-
NM_001278356.2	GeneID:10818	ENSG00000166225.11	HGNC:16971	FRS2	fibroblast growth factor receptor substrate 2	NM_001278356.2	NP_001265285.1	ENST00000549921.6	ENSP00000450048.1	MANE Select	NC_000012.12	69470388	69579793	+
